# Lake Zabinskie, Poland 115 Year August Chironomid-Inferred Temperature 
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/19501 
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/insecta/chironomidae/europe/poland/zabinskie2015chirpct.txt
#
# Original_Source_URL: 
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Climate Reconstructions
#
# Parameter_Keywords: population abundance, air temperature
#--------------------
# Contribution_Date
#	Date: 2015-11-26
#--------------------
# Title
#	Study_Name: Lake Zabinskie, Poland 115 Year August Chironomid-Inferred Temperature  
#--------------------
# Investigators
# 	Investigators: Larocque-Tobler, I.; Filipiak, J.; Tylmann, W.; Bonk, A.; Grosjean, M. 
#--------------------
# Description_and_Notes
#	Description: Chironomid data and August temperature reconstruction from Lake Zabinskie, Poland for the past 115 years. 
#--------------------
# Publication 
#	Authors: Isabelle Larocque-Tobler, Janusz Filipiak, Wojciech Tylmann, Alicja Bonk, Martin Grosjean 
#	Published_Date_or_Year: 2015-03-01
#	Published_Title: Comparison between chironomid-inferred mean-August temperature from varved Lake Zabinskie (Poland) and instrumental data since 1896 AD
#	Journal_Name: Quaternary Science Reviews
#	Volume: 111
#	Edition: 
#	Issue: 
#	Pages: 35-50
#	Report_Number: 
#	DOI: 10.1016/j.quascirev.2015.01.001
#	Online_Resource: http://www.sciencedirect.com/science/article/pii/S0277379115000086
#	Full_Citation: 
#	Abstract: Chironomids preserved in varved Lake Zabinskie (54 07'54.5"N; 21 59'01.1"E; 120 m a.s.l), northeastern Poland, were used to reconstruct mean-August air temperature since 1896 AD at annual (1949-2011 AD) and at 3-4 year resolutions (1896-1948 AD). This is one of very few studies using chironomids at such high temporal resolution, for a total of 130 sediment samples analyzed. To infer temperature a combined (Northeastern Canada and Poland) transfer function was developed. This transfer function had 112 lakes (50 from Poland, 72 from Canada) and 95 taxa. The mean-August-air temperature gradient was 23.5C. The coefficient of determination (r2jack) was 0.88, the root-mean-square error of prediction (RMSEP) was 1.30C and the maximum bias was 2.08C. 

The average mean August air temperature measured during the 1961-1990 AD reference period was 16.3C and the chironomid-inferred average temperature for the same period was 16.6C. For the 1981-2010 AD reference period, the temperatures were 1C warmer (i.e. measured = 17.3C; inferred = 17.6C). The differences of only 0.3C between the measured and the inferred temperatures during the reference periods were a first indication that the merged transfer function could provide accurate estimates of mean August air temperature.

Chironomid-inferred mean August air temperatures since 1896 AD had strong relationships with instrumental data at near-annual resolution (rPearson = 0.74, pcorr < 0.01). The relationship increased on decadal scale (rPearson = 0.91, pcorr < 0.01) when the errors in varve chronology (-5 to 2 years) were considered.

Although the RMSEP of the transfer function was higher than most changes recorded, the average difference between the instrumental and the inferred mean August air temperatures was 0.75C. The results of this study suggest that not only do chironomids reconstruct the right pattern in temperature changes (83% of the inferences recorded the same temperature increase or decrease than the instrumental data) they can also infer changes with the right amplitude (61% of the inferences had differences with the instrumental data below 0.7C). This study is one more example of the possible accuracy of chironomids to reconstruct climate, at least for the past 100 years and at this site.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: European Union 
#	Grant:  Project CLIMPOL (PSPB-086/2010) 
#------------------
# Site_Information 
#	Site_Name: Lake Zabinskie
#	Location: Europe>Eastern Europe>Poland
#	Country: Poland
#	Northernmost_Latitude: 54.1318
#	Southernmost_Latitude: 54.1318 
#	Easternmost_Longitude: 21.9836
#	Westernmost_Longitude: 21.9836 
#	Elevation: 120 m  
#------------------
# Data_Collection   
#	Collection_Name: Zabinskie2015chirpct
#	Earliest_Year: 1896
#	Most_Recent_Year: 2010
#	Time_Unit: AD
#	Core_Length: 2.45m
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: Varve counting
# 	
#----------------	
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
## age_AD	age, , , AD, , , , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
# Lake Zabinskie chironomid percentages
#
age_AD	Chironomini	Chironomus anthracinus	Chironomus plumosus	Cladopelma lateralis	Constempellina	Cryptochironomus	Dicrotendipes nervosus	Einfeldia	Endochironomus albipennis	Endochironomus tendens	Endochironomus impar	Glyptotendipes pallens	Glyptotendipes severini	Microtendipes pedellus	Parachironomus varus	Paratendipes nudisquama	Phaneosectra type A	Polypedilum nubeculosum	Polypedilum sordens	Sergentia coracina	Stichtochironomus B	Cladotanytarsus mancus1	Corynocera ambigua	Corynocera oliveri	Micropsectra insignilobus	Paratanytarsus	Tanytarsus sp	Tanytarsus lactesens	Tanytarsus lugens	Tanytarsus mendax	Tanytarsus pallidicornis	Allopsectrocladius	Brillia	Parametricnemus	Corynoneura	Cricotopus	Eukiefferiella fittkaui	H# marcidus	Limnophyes	Nanocladius branchio	Orthocladius	Parakiefferiella bathophila	Psectrocladius sordidellus	Psectrocladius septentri	Pseudosmittia	Smittia	Pentaneurini	Ablabesmyia	Krenopelopia	Procladius	Nb head capsules
1969	19.4	6.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.9	12.9	0.0	12.9	0.0	0.0	0.0	0.0	0.0	6.5	6.5	0.0	0.0	0.0	22.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0
1968	0.0	11.9	0.0	3.4	0.0	0.0	0.0	0.0	0.0	11.9	0.0	0.0	0.0	0.0	6.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.9	20.3	6.8	6.8	0.0	0.0	0.0	0.0	0.0	0.0	10.2	0.0	0.0	10.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.5
1967	17.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.6	0.0	0.0	0.0	0.0	26.8	12.2	0.0	14.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0
1966	16.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	20.0	6.7	0.0	10.0	0.0	0.0	0.0	3.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.3	30.0
1965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	18.7	0.0	0.0	0.0	0.0	9.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7	8.0	0.0	0.0	0.0	0.0	0.0	2.7	0.0	0.0	9.3	0.0	2.7	0.0	0.0	0.0	5.3	37.5
1964	13.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9	0.0	14.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.5	0.0	0.0	0.0	0.0	26.3	13.2	0.0	14.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0
1963	0.0	4.0	0.0	0.0	0.0	4.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	16.0	24.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0
1962	6.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.5	0.0	0.0	0.0	12.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.5	0.0	0.0	0.0	35.5	12.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.5	0.0	0.0	31.0
1961	23.9	0.0	0.0	0.0	0.0	0.0	16.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	9.0	0.0	0.0	23.9	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	33.5
1960	4.0	4.0	0.0	4.0	0.0	0.0	4.0	0.0	10.7	4.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	8.0	18.7	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	18.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.5
1959	11.6	11.6	0.0	0.0	0.0	0.0	11.6	0.0	0.0	11.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.6	20.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.5
1958	0.0	11.6	11.6	0.0	0.0	8.7	2.9	0.0	5.8	0.0	0.0	0.0	0.0	11.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.7	24.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.5
1957	0.0	4.0	0.0	10.1	0.0	0.0	0.0	3.0	2.0	4.0	0.0	0.0	0.0	14.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	14.1	10.1	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	20.2	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	49.5
1956	20.8	4.2	4.2	2.1	0.0	0.0	0.0	0.0	2.1	0.0	0.0	8.3	4.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.3	0.0	0.0	0.0	8.3	12.5	4.2	0.0	0.0	0.0	0.0	0.0	0.0	4.2	12.5	0.0	0.0	4.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0
1955	4.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1	4.3	0.0	6.4	0.0	17.0	0.0	0.0	0.0	12.8	0.0	0.0	0.0	4.3	0.0	0.0	0.0	8.5	4.3	0.0	0.0	6.4	4.3	0.0	0.0	0.0	12.8	8.5	0.0	0.0	4.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.5
1954	17.4	3.5	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.8	3.5	0.0	0.0	0.0	0.0	5.2	0.0	0.0	0.0	10.4	0.0	0.0	0.0	5.2	14.8	3.5	0.0	0.0	0.0	0.0	0.0	0.0	3.5	14.8	0.0	0.0	3.5	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.0	0.0	0.0	0.0	57.5
1953	0.0	4.4	4.4	0.0	0.0	0.0	0.0	4.4	0.0	0.0	0.0	0.0	0.0	8.7	0.0	0.0	0.0	8.7	0.0	0.0	0.0	8.7	0.0	0.0	0.0	21.8	13.1	0.0	4.4	0.0	0.0	0.0	0.0	4.2	0.0	8.7	0.0	0.0	4.4	4.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0
1952	9.5	4.8	4.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.8	0.0	2.4	0.0	0.0	7.1	2.4	0.0	0.0	9.5	0.0	0.0	0.0	7.1	14.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.8	14.3	0.0	0.0	4.8	0.0	0.0	0.0	0.0	0.0	0.0	4.8	0.0	0.0	0.0	4.8	21.0
1951	0.0	0.0	9.5	0.0	9.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2	0.0	0.0	9.5	0.0	11.1	0.0	0.0	0.0	0.0	0.0	19.0	9.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.9	7.9	0.0	0.0	0.0	3.2	1.6	0.0	0.0	0.0	0.0	0.0	0.0	7.9	0.0	0.0	31.5
1950	0.0	9.1	9.1	9.1	0.0	0.0	9.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.9	10.9	0.0	3.6	12.7	12.7	1.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.9	27.5
1949	0.0	0.0	0.0	0.0	0.0	0.0	13.3	0.0	0.0	0.0	0.0	0.0	0.0	13.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.3	0.0	2.9	0.0	13.3	0.0	0.0	13.3	0.0	0.0	3.8	0.0	0.0	13.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.3	52.5
1948	10.0	16.0	0.0	4.0	0.0	4.0	8.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	6.0	6.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	4.0	6.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	4.0	25.0
1947	0.0	15.4	6.2	6.2	0.0	3.1	12.3	0.0	3.1	0.0	0.0	0.0	0.0	6.2	0.0	0.0	0.0	6.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.3	0.0	0.0	3.1	0.0	0.0	0.0	0.0	6.2	12.3	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	3.1	0.0	0.0	0.0	0.0	3.1	32.5
1946	2.0	16.0	6.0	6.0	0.0	4.0	10.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	10.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	50.0
1945	3.2	17.7	3.2	0.0	0.0	1.6	6.5	0.0	3.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2	6.5	0.0	0.0	0.0	8.1	0.0	0.0	0.0	9.7	8.1	0.0	0.0	8.1	3.2	0.0	0.0	0.0	3.2	8.1	0.0	0.0	0.0	0.0	3.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2	31.0
1944	3.0	0.0	0.0	15.6	0.0	0.0	15.6	0.0	6.3	0.0	0.0	0.0	0.0	0.0	0.0	12.5	0.0	9.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.6	0.0	0.0	0.0	3.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0
1943	9.7	16.1	3.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.1	0.0	0.0	0.0	8.1	0.0	0.0	0.0	6.5	12.9	0.0	0.0	0.0	3.2	0.0	0.0	0.0	3.2	12.9	0.0	0.0	6.5	0.0	3.2	3.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2	31.0
1942	13.8	17.2	0.0	0.0	0.0	0.0	3.4	0.0	6.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.9	0.0	0.0	0.0	6.9	0.0	0.0	0.0	6.9	6.9	0.0	1.7	6.9	0.0	0.0	0.0	0.0	3.4	6.9	0.0	0.0	6.9	0.0	1.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4	29.0
1941	0.0	19.0	4.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.9	6.3	0.0	9.5	0.0	0.0	0.0	0.0	0.0	15.9	15.9	0.0	0.0	0.0	4.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3	0.0	0.0	31.5
1940	0.0	0.0	0.0	0.0	0.0	0.0	12.9	0.0	0.0	0.0	0.0	0.0	0.0	12.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.9	0.0	3.2	0.0	12.9	0.0	0.0	9.7	0.0	0.0	3.2	0.0	0.0	12.9	12.9	0.0	0.0	0.0	0.0	0.0	0.0	3.2	0.0	0.0	0.0	0.0	0.0	0.0	3.2	31.0
1939	0.0	0.0	4.4	0.0	0.0	0.0	0.0	0.0	0.0	4.4	0.0	0.0	0.0	11.8	0.0	0.0	0.0	11.8	0.0	11.8	0.0	0.0	0.0	0.0	0.0	25.0	11.8	0.0	7.4	0.0	0.0	0.0	0.0	0.0	11.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0
1937	4.8	0.0	0.0	0.0	0.0	0.0	7.2	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.5	9.6	0.0	7.2	3.6	0.0	0.0	0.0	0.0	8.4	9.6	0.0	0.0	0.0	2.4	0.0	3.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.5
1934	0.0	0.0	0.0	14.3	0.0	0.0	14.3	0.0	14.3	0.0	14.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.3	14.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0
1932	0.0	36.7	0.0	0.0	0.0	2.0	16.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.2	0.0	0.0	0.0	8.2	8.2	0.0	0.0	8.2	0.0	4.1	0.0	0.0	4.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1	0.0	0.0	0.0	0.0	0.0	24.5
1931	0.0	9.5	0.0	0.0	0.0	0.0	3.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3	0.0	0.0	0.0	15.9	3.2	0.0	0.0	9.5	9.5	0.0	0.0	7.9	0.0	0.0	0.0	0.0	3.2	15.9	0.0	0.0	7.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.9	31.5
1929	0.0	0.0	0.0	0.0	0.0	0.0	7.6	0.0	0.0	0.0	0.0	0.0	2.5	12.7	0.0	0.0	0.0	12.7	0.0	0.0	0.0	7.6	0.0	0.0	0.0	15.2	20.3	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.2	0.0	0.0	3.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.5
1927	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	11.8	0.0	0.0	0.0	11.8	2.0	0.0	3.9	7.8	0.0	0.0	0.0	15.7	19.6	3.9	3.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9	0.0	0.0	7.8	0.0	0.0	0.0	0.0	0.0	3.9	0.0	0.0	25.5
1924	2.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4	0.0	12.2	0.0	0.0	0.0	12.2	0.0	0.0	3.7	7.3	0.0	0.0	0.0	14.6	19.5	3.7	2.4	3.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.9	0.0	0.0	7.3	0.0	0.0	0.0	0.0	0.0	3.7	0.0	0.0	41.0
1922	0.0	4.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	10.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.9	0.0	0.0	0.0	15.8	17.8	0.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0	9.9	0.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	9.9	0.0	0.0	0.0	0.0	4.0	50.5
1920	0.0	7.4	0.0	0.0	2.5	0.0	9.9	0.0	3.7	0.0	0.0	3.7	0.0	0.0	2.5	0.0	0.0	7.4	0.0	0.0	0.0	9.9	0.0	0.0	0.0	7.4	7.4	0.0	2.5	3.7	0.0	0.0	0.0	0.0	3.7	13.6	0.0	0.0	0.0	0.0	3.7	3.7	0.0	0.0	7.4	0.0	0.0	0.0	0.0	0.0	40.5
1918	0.0	4.0	4.0	5.3	0.0	2.7	2.7	0.0	4.0	4.0	0.0	2.7	0.0	5.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.3	0.0	0.0	0.0	9.3	18.7	0.0	2.7	0.0	0.0	0.0	0.0	0.0	0.0	6.7	0.0	0.0	0.0	0.0	2.7	0.0	6.7	0.0	2.7	0.0	0.0	0.0	0.0	2.7	37.5
1916	0.0	7.9	0.0	7.9	0.0	0.0	11.2	0.0	4.5	0.0	0.0	0.0	0.0	0.0	2.2	0.0	0.0	7.9	0.0	0.0	0.0	11.2	0.0	0.0	0.0	7.9	7.9	0.0	2.2	4.5	0.0	0.0	0.0	0.0	4.5	13.5	0.0	0.0	0.0	0.0	2.2	0.0	4.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.5
1913	0.0	7.6	0.0	9.9	0.0	0.0	13.7	0.0	3.1	0.0	0.0	1.5	0.0	0.0	0.0	0.0	3.8	7.6	0.0	0.0	0.0	12.2	0.0	0.0	0.0	8.4	8.4	0.0	0.0	3.1	0.0	0.0	0.0	1.5	3.8	12.2	0.0	0.0	0.0	0.0	0.0	0.0	3.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.5
1910	0.0	10.2	0.0	0.0	0.0	0.0	10.2	0.0	10.2	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2	0.0	0.0	0.0	13.9	0.0	0.0	0.0	13.9	11.7	0.0	0.0	3.6	3.6	0.0	0.0	0.0	2.2	13.9	0.0	0.0	0.0	0.0	2.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.5
1905	3.7	8.2	0.0	0.0	0.0	0.0	0.0	0.0	4.5	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	16.4	2.2	0.0	0.0	8.2	8.2	0.0	1.5	0.0	0.0	0.0	0.0	0.0	4.5	14.9	0.0	0.0	1.5	0.7	4.5	0.0	0.0	0.0	2.2	2.2	0.0	0.0	0.0	4.5	67.0
1902	0.0	3.7	0.0	0.0	0.9	0.9	7.4	0.0	0.0	0.9	0.0	1.9	0.0	7.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.7	0.0	0.0	0.0	15.7	5.6	0.0	0.0	3.7	3.7	0.0	0.0	4.6	0.0	17.6	0.0	0.0	0.0	0.0	4.6	0.0	0.0	0.0	0.9	4.6	0.0	0.0	0.0	0.0	54.0
1899	0.0	2.9	0.0	0.0	1.5	0.0	8.8	0.0	2.9	0.0	0.0	0.0	0.0	8.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.6	0.0	0.0	0.0	17.6	5.9	0.0	0.0	2.9	0.0	0.0	0.0	2.9	0.0	22.1	0.0	0.0	0.0	0.0	2.9	0.0	0.0	0.0	0.0	2.9	0.0	0.0	0.0	0.0	34.0
1896	2.3	4.7	2.3	0.0	0.0	0.0	9.3	0.0	5.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.3	0.0	0.0	0.0	9.3	0.0	0.0	0.0	22.1	5.8	0.0	2.3	0.0	0.0	0.0	0.0	0.0	0.0	19.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3	0.0	0.0	0.0	0.0	4.7	43.0
