"V1" "V2" "V3" "V4"
1897 12 -6.1 65.3
1898 1 -4.9 21.5
1898 2 -6.5 66.1
1898 3 -3.7 184.7
1898 4 0.4 114.7
1898 5 3.5 188.9
1898 6 7.2 190.7
1898 7 9.4 57.1
1898 8 11.6 80.2
1898 9 9 4.5
1898 10 4.5 128.2
1898 11 0.9 223.6
1898 12 -6 10.7
1899 1 -4.6 111.1
1899 2 -6 10.5
1899 3 -4.1 22.3
1899 4 -0.4 126.3
1899 5 3.9 82.9
1899 6 8.5 54.9
1899 7 10.5 71.7
1899 8 10.9 51
1899 9 7 112.3
1899 10 4.3 10.3
1899 11 0.2 2.4
1899 12 -6.5 70.8
1900 1 -5.5 95.1
1900 2 -4.7 70
1900 3 -7.3 60.5
1900 4 -1.4 22.3
1900 5 4.4 111.1
1900 6 9.4 68.9
1900 7 11.5 118.7
1900 8 9.3 222.5
1900 9 8.9 63.2
1900 10 3.8 30
1900 11 -1.4 114.3
1900 12 -3.8 10.5
1901 1 -8.5 12.6
1901 2 -13 51.9
1901 3 -6 189.9
1901 4 -0.1 120.1
1901 5 3.9 82.3
1901 6 9.2 168.1
1901 7 10.1 173.8
1901 8 10.2 108.4
1901 9 7.9 102.9
1901 10 2.6 112.5
1901 11 -2.6 52.1
1901 12 -5.1 124
1902 1 -6.3 41.4
1902 2 -5.7 92.7
1902 3 -4.7 143
1902 4 1.6 42.3
1902 5 1.1 56.5
1902 6 6.8 106.5
1902 7 10.9 129.3
1902 8 9.8 118.3
1902 9 7.5 106.1
1902 10 2.2 100.6
1902 11 -2.6 44
1902 12 -5.5 91.8
1903 1 -9 61.7
1903 2 -4.9 28.5
1903 3 -3.5 34.3
1903 4 -3.1 113.2
1903 5 3.5 124
1903 6 7.3 77.2
1903 7 9.3 134.5
1903 8 10.5 129.9
1903 9 7.4 53.6
1903 10 3.2 151.2
1903 11 -2.4 78.2
1903 12 -7.1 71.8
1904 1 -8.2 27.9
1904 2 -6.5 152.5
1904 3 -4.4 158.5
1904 4 1.2 49.2
1904 5 5.8 98.1
1904 6 9.7 113.6
1904 7 11.8 61.9
1904 8 11 51
1904 9 5.9 105.9
1904 10 3.3 22.5
1904 11 -2.9 57.4
1904 12 -6 75.9
1905 1 -9.8 33.5
1905 2 -7.4 29.9
1905 3 -3.9 48.9
1905 4 -0.2 51.2
1905 5 3.4 185.8
1905 6 8.7 68.2
1905 7 12 141.5
1905 8 9.3 260.6
1905 9 7.9 118.5
1905 10 -1.6 19.1
1905 11 -3 122.2
1905 12 -6.3 12.8
1906 1 -8.5 17.8
1906 2 -8.8 75.2
1906 3 -5.1 59.1
1906 4 -1 95.4
1906 5 4.8 67.6
1906 6 8.1 48.5
1906 7 10.7 98.3
1906 8 11.4 46.7
1906 9 6.7 38.5
1906 10 4.6 44.4
1906 11 -1.5 257.1
1906 12 -8.6 27.6
1907 1 -6.6 28.8
1907 2 -8.2 17.4
1907 3 -5.4 36.4
1907 4 -0.9 74.2
1907 5 5.2 85.5
1907 6 8.7 124.7
1907 7 8.9 84.3
1907 8 11.2 79.6
1907 9 8.8 28.4
1907 10 4.6 239
1907 11 -0.9 32
1907 12 -5.1 77.3
1908 1 -7.8 1.1
1908 2 -6.4 50.8
1908 3 -6.2 55.1
1908 4 -2.1 81.6
1908 5 6.2 131.8
1908 6 9.4 121
1908 7 9.7 166.3
1908 8 9.3 172.5
1908 9 6.6 74
1908 10 3.9 48.2
1908 11 -2.8 20.7
1908 12 -6.8 34.6
1909 1 -9 8.8
1909 2 -8.1 42.8
1909 3 -6.2 53.9
1909 4 1 47.1
1909 5 4.3 45.2
1909 6 6.3 145.1
1909 7 9 86.8
1909 8 10 139.3
1909 9 6.5 65.6
1909 10 3.9 126.6
1909 11 -3.7 46.3
1909 12 -3.8 117.3
1910 1 -6.4 108.5
1910 2 -6.7 73.5
1910 3 -4.4 43.7
1910 4 -0.6 98.9
1910 5 2.6 92.7
1910 6 8.1 133.9
1910 7 8.2 112.5
1910 8 9.4 102.5
1910 9 5.6 28.4
1910 10 3.6 74
1910 11 -4.1 76.4
1910 12 -3.7 108.4
1911 1 -9 4
1911 2 -7.4 39.1
1911 3 -4.4 93
1911 4 -1.6 47.5
1911 5 5 49
1911 6 7.5 150
1911 7 11.8 59.7
1911 8 12.7 141.8
1911 9 8.6 96.8
1911 10 2.1 213.8
1911 11 -1.8 152.5
1911 12 -4.6 147.2
1912 1 -5.4 68.6
1912 2 -4.4 27.5
1912 3 -2.9 150.3
1912 4 -1.6 25.1
1912 5 4.6 40.3
1912 6 7.5 94.5
1912 7 10 138.6
1912 8 7.5 161.6
1912 9 3.8 8.6
1912 10 1.8 125.9
1912 11 -5.2 93.5
1912 12 -5 19
1913 1 -6 37.7
1913 2 -7.7 14.4
1913 3 -1.9 113.9
1913 4 -0.8 85.2
1913 5 3.9 61
1913 6 7.5 87
1913 7 7.2 87.8
1913 8 8.6 92.7
1913 9 6.6 102.8
1913 10 4.3 115.6
1913 11 0.6 112.7
1913 12 -4.8 27.3
1914 1 -9.5 46.4
1914 2 -4.6 91
1914 3 -3.1 113
1914 4 0.8 66.7
1914 5 3.7 114.3
1914 6 6.9 57.3
1914 7 9 149.5
1914 8 9.9 136.7
1914 9 7.2 23.7
1914 10 2.2 128.4
1914 11 -3.4 16.2
1914 12 -4.7 47
1915 1 -8.1 89.3
1915 2 -7.9 147.8
1915 3 -4.2 56.8
1915 4 -1.6 42.4
1915 5 6 86.4
1915 6 9.4 57.4
1915 7 10.2 149.8
1915 8 9.4 49.8
1915 9 5.9 132.8
1915 10 0.9 14.6
1915 11 -4.9 50.4
1915 12 -2.7 107.7
1916 1 -4.6 23
1916 2 -6.4 149.4
1916 3 -2.7 214.2
1916 4 -0.6 56.8
1916 5 4.3 95
1916 6 6.2 182.9
1916 7 9.7 84.1
1916 8 9.9 127.2
1916 9 5.4 104.4
1916 10 2.3 73.3
1916 11 -2.9 184.6
1916 12 -4.7 183
1917 1 -9.1 75.9
1917 2 -9.6 9
1917 3 -6.1 107.5
1917 4 -3.2 106.9
1917 5 4.7 124.2
1917 6 9.4 69.3
1917 7 10.2 132.6
1917 8 9.4 181.4
1917 9 8.8 30.4
1917 10 0.5 244.6
1917 11 -3.3 29.4
1917 12 -9.2 32.3
1918 1 -7.3 23.8
1918 2 -7 13.3
1918 3 -4.8 111.3
1918 4 0 54.4
1918 5 4.9 22.6
1918 6 6.1 116.1
1918 7 9.5 61.5
1918 8 9.4 55
1918 9 7.9 232.7
1918 10 1.7 102.5
1918 11 -2.7 28.7
1918 12 -3.6 69.3
1919 1 -8.3 141
1919 2 -8.2 27.7
1919 3 -4.7 100.8
1919 4 -2.1 160.5
1919 5 2.3 5.4
1919 6 8.6 38.7
1919 7 7.5 130.7
1919 8 11.5 50.6
1919 9 7.9 97.1
1919 10 -1 50.6
1919 11 -4.9 123.4
1919 12 -6.8 70.5
1920 1 -4.4 111.8
1920 2 -5.8 10
1920 3 -2.7 155
1920 4 -0.1 168.3
1920 5 6.4 126.9
1920 6 8.1 67.9
1920 7 9.9 152.9
1920 8 9.1 79.5
1920 9 7.8 191
1920 10 4 22.6
1920 11 -1.8 13.8
1920 12 -5.5 45.9
1921 1 -4.3 76.6
1921 2 -7.5 10.5
1921 3 -3.7 34.8
1921 4 -1.4 79.2
1921 5 5.9 72
1921 6 8.2 54.7
1921 7 12.2 39.8
1921 8 10.3 67.8
1921 9 9.1 23.5
1921 10 5.2 8.3
1921 11 -3.9 37.9
1921 12 -4.3 5.3
1922 1 -8.5 130.3
1922 2 -6.1 22.9
1922 3 -2.8 197.2
1922 4 -1.6 95.3
1922 5 5.3 42
1922 6 8.6 79.2
1922 7 9 148.7
1922 8 10.6 133.9
1922 9 5.3 140.3
1922 10 2.2 82.3
1922 11 -4.2 24.9
1922 12 -6.1 148
1923 1 -8 12.9
1923 2 -5.1 15.2
1923 3 -4.5 15.7
1923 4 -0.4 72.1
1923 5 4.3 109
1923 6 5.4 62.3
1923 7 12.1 73.8
1923 8 11.5 97
1923 9 6.9 83.5
1923 10 4.5 142.9
1923 11 -1.3 132
1923 12 -7 92.9
1924 1 -8.6 35.7
1924 2 -9.2 29.5
1924 3 -4.4 45
1924 4 0.2 68.7
1924 5 6.3 125.4
1924 6 8.8 136
1924 7 10.9 94.8
1924 8 8 165.3
1924 9 7.9 160.9
1924 10 3 44.5
1924 11 -1.3 5.6
1924 12 -6.3 64.2
1925 1 -6.1 15.6
1925 2 -6.1 151.2
1925 3 -7 46.7
1925 4 -0.7 70.7
1925 5 4 53.5
1925 6 9.5 24.6
1925 7 9.7 140.8
1925 8 9.9 110.8
1925 9 5.5 81.1
1925 10 4.1 58.7
1925 11 -3 59.7
1925 12 -7.6 60.2
1926 1 -8 42
1926 2 -2.9 113.7
1926 3 -2.6 65
1926 4 -0.4 135.9
1926 5 2.6 193.3
1926 6 5.9 120.3
1926 7 9.8 41.4
1926 8 10.5 54.2
1926 9 9.6 52.7
1926 10 3.9 262.4
1926 11 0.8 230.6
1926 12 -5.9 11.8
1927 1 -6.3 99.7
1927 2 -7.6 36
1927 3 -4.4 119.4
1927 4 0.6 71.7
1927 5 5.3 25.8
1927 6 8.5 136.3
1927 7 10.4 107.8
1927 8 10.2 182.2
1927 9 7.9 181.8
1927 10 3 36.9
1927 11 -0.6 184.1
1927 12 -5.3 29.8
1928 1 -7 48
1928 2 -6.2 30.7
1928 3 -3.3 75.6
1928 4 -0.3 117.6
1928 5 2 123.4
1928 6 8.4 58
1928 7 12.8 55.1
1928 8 12.1 188.6
1928 9 7.8 47
1928 10 3.1 167.1
1928 11 -1.2 96.1
1928 12 -6.8 18.1
1929 1 -11.5 9.5
1929 2 -11.8 3.8
1929 3 -3.9 0.6
1929 4 -2.1 77
1929 5 4.9 39.4
1929 6 9.9 102
1929 7 11.5 75.6
1929 8 10.5 194.7
1929 9 9.4 20.1
1929 10 3.4 79.3
1929 11 -2.3 55.9
1929 12 -4.5 80.5
1930 1 -4.8 18.6
1930 2 -9.2 19.5
1930 3 -3.8 74.1
1930 4 0 91.4
1930 5 3.4 66.8
1930 6 9.8 52.1
1930 7 9.7 118.8
1930 8 9.7 114.8
1930 9 8 92.2
1930 10 2.5 37.4
1930 11 0.8 47.1
1930 12 -5.6 31.3
1931 1 -8.4 49.5
1931 2 -8.5 126.9
1931 3 -5.1 39.9
1931 4 -1.2 57.5
1931 5 5.7 147
1931 6 10.7 105.4
1931 7 10.2 160.1
1931 8 9.1 160.7
1931 9 4.2 88.5
1931 10 3 65
1931 11 -0.1 89.2
1931 12 -7.5 20.4
1932 1 -5.9 23.8
1932 2 -10.8 4.3
1932 3 -5.5 23.1
1932 4 -2.6 82.2
1932 5 3.4 125.3
1932 6 7.4 100.2
1932 7 10.1 103
1932 8 12.3 45.9
1932 9 10.7 106.7
1932 10 2 95.7
1932 11 -1.1 22
1932 12 -5 22.1
1933 1 -9.4 38.9
1933 2 -7.2 13.9
1933 3 -4 46.3
1933 4 0.5 26.8
1933 5 3.6 89
1933 6 6 136.6
1933 7 10.9 99.7
1933 8 10.9 70.4
1933 9 7.8 65.7
1933 10 2.2 183.5
1933 11 -3.2 101.4
1933 12 -8.3 22.6
1934 1 -8.4 9
1934 2 -6.2 32.3
1934 3 -3.8 125.6
1934 4 1.1 95.6
1934 5 6.7 55
1934 6 8.2 104.7
1934 7 11.3 96.2
1934 8 9.2 197.4
1934 9 8.4 30
1934 10 2.3 44.4
1934 11 -3.1 172.8
1934 12 -3.3 41.5
1935 1 -9.6 17.2
1935 2 -5.8 96.7
1935 3 -6.2 4.5
1935 4 -1.2 65.7
