Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Segl-Maria
Altitude [m asl]:         1804 m
Coordinates:              46° 25.9' N / 9° 45.7' E

Reference date of homogenization:
         Temperature:     01.12.2007
         Precipitation:   01.12.2007

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   yes

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.08.2017


Year  Month        Temperature      Precipitation  
1880     10                3.8              162.2  
1880     11               -1.4              119.5  
1880     12               -2.8               57.6  
1881      1              -10.2               31.6  
1881      2               -6.3                7.6  
1881      3               -2.4               16.0  
1881      4                0.0               54.8  
1881      5                4.4               45.5  
1881      6                7.8               50.9  
1881      7               12.6               60.7  
1881      8               11.2              124.4  
1881      9                6.0               91.4  
1881     10                0.4               51.5  
1881     11                0.8               20.5  
1881     12               -6.2               46.8  
1882      1               -5.5                5.9  
1882      2               -6.5                5.0  
1882      3               -1.7               48.9  
1882      4               -0.7               82.3  
1882      5                4.8               51.5  
1882      6                7.4              126.6  
1882      7                9.9               84.9  
1882      8                9.0               98.0  
1882      9                6.1              324.9  
1882     10                3.2              198.0  
1882     11               -3.3               38.9  
1882     12               -5.0              124.3  
1883      1               -6.5               34.8  
1883      2               -4.9               30.6  
1883      3               -7.5               21.4  
1883      4               -1.5               35.5  
1883      5                4.4               47.5  
1883      6                7.7              119.6  
1883      7                9.5              119.2  
1883      8               10.0               44.6  
1883      9                6.6              127.3  
1883     10                1.4               83.4  
1883     11               -3.3               57.7  
1883     12               -5.8               36.5  
1884      1               -5.4               11.0  
1884      2               -5.6                9.9  
1884      3               -3.1               17.1  
1884      4                0.1               70.0  
1884      5                6.0               52.5  
1884      6                5.7               72.2  
1884      7               10.8              112.7  
1884      8               10.5               80.4  
1884      9                7.4               78.2  
1884     10                1.3               45.8  
1884     11               -3.7                0.4  
1884     12               -4.8               11.6  
1885      1               -9.4               27.1  
1885      2               -4.2               40.3  
1885      3               -2.9               41.6  
1885      4                0.4               82.7  
1885      5                2.3              128.9  
1885      6               10.1                9.0  
1885      7               11.8               25.0  
1885      8               10.1               76.0  
1885      9                7.0              263.9  
1885     10                1.2              145.3  
1885     11               -1.4               48.5  
1885     12               -5.3                2.1  
1886      1               -7.4               92.3  
1886      2               -8.5               11.9  
1886      3               -5.9               18.4  
1886      4                0.7               35.5  
1886      5                4.8               50.7  
1886      6                7.1               72.0  
1886      7               10.7              113.0  
1886      8               10.6               76.9  
1886      9                8.8               34.1  
1886     10                3.9               97.0  
1886     11               -2.3              121.1  
1886     12               -7.0              115.8  
1887      1              -10.1               38.7  
1887      2               -8.8               12.7  
1887      3               -4.4               40.2  
1887      4               -1.6               63.4  
1887      5                2.0               49.0  
1887      6                9.9               30.4  
1887      7               12.0               62.2  
1887      8               10.1               99.0  
1887      9                6.9              146.9  
1887     10               -1.0               49.1  
1887     11               -3.4              141.7  
1887     12               -9.3               35.1  
1888      1               -8.4                8.7  
1888      2               -7.9              123.9  
1888      3               -5.7              124.1  
1888      4               -1.8              122.4  
1888      5                4.1               12.3  
1888      6                8.1              118.8  
1888      7                8.5              138.7  
1888      8                9.4              108.6  
1888      9                7.8              249.4  
1888     10                0.5              127.4  
1888     11               -1.6               59.0  
1888     12               -5.5               24.5  
1889      1               -8.0               29.0  
1889      2               -8.2               21.0  
1889      3               -6.4               33.1  
1889      4               -2.0               64.2  
1889      5                5.7              102.5  
1889      6                9.4               75.8  
1889      7               10.0              118.5  
1889      8                9.8              140.8  
1889      9                6.3               55.8  
1889     10                2.5              240.8  
1889     11               -1.1               11.2  
1889     12               -8.1               32.6  
1890      1               -4.3               27.5  
1890      2               -9.1                4.9  
1890      3               -4.4               55.3  
1890      4               -1.1               89.1  
1890      5                5.0               82.0  
1890      6                8.0              120.1  
1890      7                8.5              227.1  
1890      8               10.0              247.0  
1890      9                6.4               72.3  
1890     10                1.4               17.8  
1890     11               -2.9               32.8  
1890     12              -10.1               28.0  
1891      1              -11.8                5.3  
1891      2               -6.7                1.4  
1891      3               -5.3               79.2  
1891      4               -3.0               28.2  
1891      5                3.5              124.4  
1891      6                8.2               63.6  
1891      7                9.3              226.2  
1891      8                8.3              269.4  
1891      9                7.7               51.1  
1891     10                4.0              166.8  
1891     11               -2.3              101.1  
1891     12               -5.1               48.0  
1892      1               -7.0               38.7  
1892      2               -5.5               94.2  
1892      3               -7.6               53.4  
1892      4               -0.4               63.1  
1892      5                4.5               21.6  
1892      6                8.5              129.4  
1892      7                9.6              106.8  
1892      8               11.0               45.3  
1892      9                7.5              138.7  
1892     10                1.5              173.6  
1892     11               -1.4               36.1  
1892     12               -8.0                3.3  
1893      1              -10.7               23.5  
1893      2               -6.7               71.5  
1893      3               -3.2                8.5  
1893      4                2.0               17.8  
1893      5                4.1               36.3  
1893      6                8.3               68.6  
1893      7               10.5              113.8  
1893      8               11.1               18.1  
1893      9                7.6              108.4  
1893     10                4.9               91.9  
1893     11               -3.2               43.6  
1893     12               -6.9               83.3  
1894      1               -9.1               53.1  
1894      2               -6.5               19.2  
1894      3               -4.2               31.8  
1894      4                1.2               68.1  
1894      5                4.1               85.8  
1894      6                8.0               55.3  
1894      7               11.2              134.3  
1894      8                9.9              108.0  
1894      9                6.3              142.7  
1894     10                2.6               84.9  
1894     11               -0.9               46.2  
1894     12               -7.4                8.4  
1895      1              -11.5              179.8  
1895      2              -11.8               13.7  
1895      3               -5.1               31.3  
